date_time,weather_code,temperature_max,temperature_min,temperature_avg,precipitation,rain,snowfall,wind_speed,shortwave_radiation,city_name
"2023-09-27 00:00:00",3,18.7,11,14.9,0,0,0,21.3,16.16,Toronto
"2023-09-27 00:00:00",2,25.6,12,18,0,0,0,17.7,24.89,"Mexico City"
"2023-09-27 00:00:00",96,32.7,22.5,27.7,16.5,0,0,22,18.76,"São Paulo"
"2023-09-27 00:00:00",45,18.9,6.7,12.2,0,0,0,14.5,21.18,"Buenos Aires"
"2023-09-27 00:00:00",80,39.6,25.3,30.2,2.8,0,0,12.4,17.45,"Rio de Janeiro"
"2023-09-27 00:00:00",80,20.1,11.7,15.3,1.4,0,0,14,17.79,Bogotá
"2023-09-27 00:00:00",45,22.9,16.6,19.1,0,0,0,13,21.34,Lima
"2023-09-27 00:00:00",3,21.3,13.7,17.6,0,0,0,21,8.01,London
"2023-09-27 00:00:00",45,26.5,12.9,19.3,0,0,0,11.8,11.73,Paris
"2023-09-27 00:00:00",45,25.7,13,18.9,0,0,0,9.7,13.09,Berlin
"2023-09-27 00:00:00",0,31.3,19.5,25,0,0,0,11.6,17.61,Rome
"2023-09-27 00:00:00",3,29.2,18.6,23.9,0,0,0,9.9,20.83,Madrid
"2023-09-27 00:00:00",80,24.2,14.8,18.2,3.5,0,0,15.4,19.53,Sydney
"2023-09-27 00:00:00",3,16.8,7.8,12,0,0,0,20.2,18.4,Melbourne
"2023-09-27 00:00:00",3,31.3,16.4,22.4,0,0,0,13.2,24.66,Brisbane
"2023-09-27 00:00:00",3,34,15.3,23.7,0.1,0,0,16.8,23.73,Perth
"2023-09-27 00:00:00",2,19.2,8.1,13.5,0,0,0,16.3,21.39,Adelaide
"2023-09-27 00:00:00",0,37.5,22,29.8,0,0,0,11.5,22.26,Cairo
"2023-09-27 00:00:00",80,29.5,26.5,27.8,1.5,0,0,11.9,17.42,Lagos
"2023-09-27 00:00:00",95,18.4,8.6,12.8,4.5,0,0,13.2,17.1,Johannesburg
"2023-09-27 00:00:00",3,26.2,16,20,0,0,0,14,19.94,Nairobi
"2023-09-27 00:00:00",45,25.3,18.5,21.5,0,0,0,12.1,19.14,Casablanca
"2023-09-27 00:00:00",3,19.6,11.3,15.6,0.2,0,0,19.8,19.4,"Addis Ababa"
"2023-09-27 00:00:00",3,31.4,27.6,29.2,0,0,0,16.8,21.91,Dakar
"2023-09-27 00:00:00",3,30,25.7,27.4,0.2,0,0,11.6,18.72,Accra
"2023-09-27 00:00:00",0,21.9,11.2,16.5,0,0,0,10.8,23.81,"Cape Town"
"2023-09-27 00:00:00",3,29.1,21,25.2,0,0,0,3.8,11.82,Tokyo
"2023-09-27 00:00:00",95,29.7,26,27.5,12.6,0,0,8.4,13.06,Mumbai
"2023-09-27 00:00:00",45,28,15.4,21.4,0,0,0,15.8,13.93,Beijing
"2023-09-27 00:00:00",61,25.3,20.8,22.4,0.1,0.1,0,26.2,12.39,Istanbul
"2023-09-27 00:00:00",95,29.8,25.5,27.9,5.3,0.2,0,9,9.38,Bangkok
"2023-09-27 00:00:00",51,20.6,18.4,19.8,1.8,0,0,5.1,2.5,Seoul
"2023-09-27 00:00:00",1,36.5,24.7,29.4,0,0,0,16.4,26.06,Jakarta
"2023-09-27 00:00:00",2,34.6,25.7,29.4,0,0,0,17.5,22.01,Karachi
"2023-09-27 00:00:00",1,40.2,28,33.4,0,0,0,9.4,23.53,Riyadh
"2023-09-27 00:00:00",95,31.6,24.5,27.9,2.6,0,0,7.1,18.79,Manila
